Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,70351,2008,9,21,Y
IDCJAC0002,70351,2008,10,23.5,Y
IDCJAC0002,70351,2008,11,23.8,Y
IDCJAC0002,70351,2008,12,25.4,Y
IDCJAC0002,70351,2009,1,31.3,Y
IDCJAC0002,70351,2009,2,29.3,Y
IDCJAC0002,70351,2009,3,27.1,Y
IDCJAC0002,70351,2009,4,19.9,Y
IDCJAC0002,70351,2009,5,16.7,Y
IDCJAC0002,70351,2009,6,12.9,Y
IDCJAC0002,70351,2009,7,12.6,Y
IDCJAC0002,70351,2009,8,14.7,Y
IDCJAC0002,70351,2009,9,17.7,Y
IDCJAC0002,70351,2009,10,19.1,Y
IDCJAC0002,70351,2009,11,29.4,Y
IDCJAC0002,70351,2009,12,29.2,Y
IDCJAC0002,70351,2010,1,31.8,Y
IDCJAC0002,70351,2010,2,27.5,Y
IDCJAC0002,70351,2010,3,24.6,Y
IDCJAC0002,70351,2010,4,21.1,Y
IDCJAC0002,70351,2010,5,16.6,Y
IDCJAC0002,70351,2010,6,13,Y
IDCJAC0002,70351,2010,7,12.8,Y
IDCJAC0002,70351,2010,8,12.3,Y
IDCJAC0002,70351,2010,9,16.3,Y
IDCJAC0002,70351,2010,10,19.6,Y
IDCJAC0002,70351,2010,11,22.5,Y
IDCJAC0002,70351,2010,12,25,Y
IDCJAC0002,70351,2011,1,28.8,Y
IDCJAC0002,70351,2011,2,26.7,Y
IDCJAC0002,70351,2011,3,23.3,Y
IDCJAC0002,70351,2011,4,19.6,Y
IDCJAC0002,70351,2011,5,15.8,Y
IDCJAC0002,70351,2011,6,13.6,Y
IDCJAC0002,70351,2011,7,12.3,Y
IDCJAC0002,70351,2011,8,16,Y
IDCJAC0002,70351,2011,9,18.2,Y
IDCJAC0002,70351,2011,10,20.6,Y
IDCJAC0002,70351,2011,11,25.4,Y
IDCJAC0002,70351,2011,12,23.6,Y
IDCJAC0002,70351,2012,1,27.5,Y
IDCJAC0002,70351,2012,2,25,Y
IDCJAC0002,70351,2012,3,22.1,Y
IDCJAC0002,70351,2012,4,20.2,Y
IDCJAC0002,70351,2012,5,15.6,Y
IDCJAC0002,70351,2012,6,12.9,Y
IDCJAC0002,70351,2012,7,13,Y
IDCJAC0002,70351,2012,8,13.6,Y
IDCJAC0002,70351,2012,9,18,Y
IDCJAC0002,70351,2012,10,20.8,Y
IDCJAC0002,70351,2012,11,25.4,Y
IDCJAC0002,70351,2012,12,27.7,Y
IDCJAC0002,70351,2013,1,32.3,Y
IDCJAC0002,70351,2013,2,27.4,Y
IDCJAC0002,70351,2013,3,25.7,Y
IDCJAC0002,70351,2013,4,22.1,Y
IDCJAC0002,70351,2013,5,17.4,Y
IDCJAC0002,70351,2013,6,13.9,Y
IDCJAC0002,70351,2013,7,13.4,Y
IDCJAC0002,70351,2013,8,14.8,Y
IDCJAC0002,70351,2013,9,19.9,Y
IDCJAC0002,70351,2013,10,21.9,Y
IDCJAC0002,70351,2013,11,23.8,Y
IDCJAC0002,70351,2013,12,28.5,Y
IDCJAC0002,70351,2014,1,31.6,Y
IDCJAC0002,70351,2014,2,29.4,Y
IDCJAC0002,70351,2014,3,24.2,Y
IDCJAC0002,70351,2014,4,19.7,Y
IDCJAC0002,70351,2014,5,17.6,Y
IDCJAC0002,70351,2014,6,13.2,Y
IDCJAC0002,70351,2014,7,12.2,Y
IDCJAC0002,70351,2014,8,14.3,Y
IDCJAC0002,70351,2014,9,17.9,Y
IDCJAC0002,70351,2014,10,22.5,Y
IDCJAC0002,70351,2014,11,27.9,Y
IDCJAC0002,70351,2014,12,27.7,Y
IDCJAC0002,70351,2015,1,27.4,Y
IDCJAC0002,70351,2015,2,28.1,Y
IDCJAC0002,70351,2015,3,26.3,Y
IDCJAC0002,70351,2015,4,19.4,Y
IDCJAC0002,70351,2015,5,16.3,Y
IDCJAC0002,70351,2015,6,13.8,Y
IDCJAC0002,70351,2015,7,11.5,Y
IDCJAC0002,70351,2015,8,13.7,Y
IDCJAC0002,70351,2015,9,17.4,Y
IDCJAC0002,70351,2015,10,24.8,Y
IDCJAC0002,70351,2015,11,25.3,Y
IDCJAC0002,70351,2015,12,29.3,Y
IDCJAC0002,70351,2016,1,28.5,Y
IDCJAC0002,70351,2016,2,29.3,Y
IDCJAC0002,70351,2016,3,27.7,Y
IDCJAC0002,70351,2016,4,23.9,Y
IDCJAC0002,70351,2016,5,17.4,Y
IDCJAC0002,70351,2016,6,13,Y
IDCJAC0002,70351,2016,7,12.7,Y
IDCJAC0002,70351,2016,8,14.3,Y
IDCJAC0002,70351,2016,9,15.8,Y
IDCJAC0002,70351,2016,10,18.5,Y
IDCJAC0002,70351,2016,11,24.8,Y
IDCJAC0002,70351,2016,12,28.7,Y
IDCJAC0002,70351,2017,1,32.8,Y
IDCJAC0002,70351,2017,2,30.1,Y
IDCJAC0002,70351,2017,3,25.9,Y
IDCJAC0002,70351,2017,4,19.9,Y
IDCJAC0002,70351,2017,5,16.4,Y
IDCJAC0002,70351,2017,6,13.6,Y
IDCJAC0002,70351,2017,7,12.9,Y
IDCJAC0002,70351,2017,8,13.9,Y
IDCJAC0002,70351,2017,9,18.1,Y
IDCJAC0002,70351,2017,10,23.2,Y
IDCJAC0002,70351,2017,11,24.3,Y
IDCJAC0002,70351,2017,12,27.8,Y
IDCJAC0002,70351,2018,1,31.6,Y
IDCJAC0002,70351,2018,2,29,Y
IDCJAC0002,70351,2018,3,26.3,Y
IDCJAC0002,70351,2018,4,25,Y
IDCJAC0002,70351,2018,5,17.5,Y
IDCJAC0002,70351,2018,6,13.2,Y
IDCJAC0002,70351,2018,7,13.3,Y
IDCJAC0002,70351,2018,8,13.9,Y
IDCJAC0002,70351,2018,9,18,Y
IDCJAC0002,70351,2018,10,22.8,Y
IDCJAC0002,70351,2018,11,24.5,Y
IDCJAC0002,70351,2018,12,29.3,Y
IDCJAC0002,70351,2019,1,34.5,Y
IDCJAC0002,70351,2019,2,29.1,Y
IDCJAC0002,70351,2019,3,26,Y
IDCJAC0002,70351,2019,4,22.6,Y
IDCJAC0002,70351,2019,5,16.6,Y
IDCJAC0002,70351,2019,6,14.1,Y
IDCJAC0002,70351,2019,7,13.7,Y
IDCJAC0002,70351,2019,8,14.2,Y
IDCJAC0002,70351,2019,9,18.8,Y
IDCJAC0002,70351,2019,10,23.6,Y
IDCJAC0002,70351,2019,11,26.8,Y
IDCJAC0002,70351,2019,12,31.7,Y
IDCJAC0002,70351,2020,1,31.7,Y
IDCJAC0002,70351,2020,2,27.7,Y
IDCJAC0002,70351,2020,3,23.4,Y
IDCJAC0002,70351,2020,4,18.9,Y
IDCJAC0002,70351,2020,5,15,Y
IDCJAC0002,70351,2020,6,13.5,Y
IDCJAC0002,70351,2020,7,13.2,Y
IDCJAC0002,70351,2020,8,12.8,Y
IDCJAC0002,70351,2020,9,17.6,Y
IDCJAC0002,70351,2020,10,20.3,Y
IDCJAC0002,70351,2020,11,25.1,Y
IDCJAC0002,70351,2020,12,25.4,N
