,Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
106,IDCJAC0002,70351,2017,7,12.9,Y
107,IDCJAC0002,70351,2017,8,13.9,Y
108,IDCJAC0002,70351,2017,9,18.1,Y
109,IDCJAC0002,70351,2017,10,23.2,Y
110,IDCJAC0002,70351,2017,11,24.3,Y
111,IDCJAC0002,70351,2017,12,27.8,Y
112,IDCJAC0002,70351,2018,1,31.6,Y
113,IDCJAC0002,70351,2018,2,29.0,Y
114,IDCJAC0002,70351,2018,3,26.3,Y
115,IDCJAC0002,70351,2018,4,25.0,Y
116,IDCJAC0002,70351,2018,5,17.5,Y
117,IDCJAC0002,70351,2018,6,13.2,Y
118,IDCJAC0002,70351,2018,7,13.3,Y
119,IDCJAC0002,70351,2018,8,13.9,Y
120,IDCJAC0002,70351,2018,9,18.0,Y
121,IDCJAC0002,70351,2018,10,22.8,Y
122,IDCJAC0002,70351,2018,11,24.5,Y
123,IDCJAC0002,70351,2018,12,29.3,Y
124,IDCJAC0002,70351,2019,1,34.5,Y
125,IDCJAC0002,70351,2019,2,29.1,Y
126,IDCJAC0002,70351,2019,3,26.0,Y
127,IDCJAC0002,70351,2019,4,22.6,Y
128,IDCJAC0002,70351,2019,5,16.6,Y
129,IDCJAC0002,70351,2019,6,14.1,Y
130,IDCJAC0002,70351,2019,7,13.7,Y
131,IDCJAC0002,70351,2019,8,14.2,Y
132,IDCJAC0002,70351,2019,9,18.8,Y
133,IDCJAC0002,70351,2019,10,23.6,Y
134,IDCJAC0002,70351,2019,11,26.8,Y
135,IDCJAC0002,70351,2019,12,31.7,Y
136,IDCJAC0002,70351,2020,1,31.7,Y
137,IDCJAC0002,70351,2020,2,27.7,Y
138,IDCJAC0002,70351,2020,3,23.4,Y
139,IDCJAC0002,70351,2020,4,18.9,Y
140,IDCJAC0002,70351,2020,5,15.0,Y
141,IDCJAC0002,70351,2020,6,13.5,Y
142,IDCJAC0002,70351,2020,7,13.2,Y
143,IDCJAC0002,70351,2020,8,12.8,Y
144,IDCJAC0002,70351,2020,9,17.6,Y
145,IDCJAC0002,70351,2020,10,20.3,Y
146,IDCJAC0002,70351,2020,11,25.1,Y
147,IDCJAC0002,70351,2020,12,25.4,N
