Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,070014,1943,06,10.2,Y
IDCJAC0002,070014,1943,07,9.0,Y
IDCJAC0002,070014,1943,08,9.3,Y
IDCJAC0002,070014,1943,09,13.7,Y
IDCJAC0002,070014,1943,10,18.0,Y
IDCJAC0002,070014,1943,11,19.4,Y
IDCJAC0002,070014,1943,12,24.3,Y
IDCJAC0002,070014,1944,01,30.3,Y
IDCJAC0002,070014,1944,02,27.5,Y
IDCJAC0002,070014,1944,03,24.6,Y
IDCJAC0002,070014,1944,04,18.7,Y
IDCJAC0002,070014,1944,05,13.7,Y
IDCJAC0002,070014,1944,06,11.6,Y
IDCJAC0002,070014,1944,07,11.5,Y
IDCJAC0002,070014,1944,08,13.4,Y
IDCJAC0002,070014,1944,09,18.0,Y
IDCJAC0002,070014,1944,10,22.1,Y
IDCJAC0002,070014,1944,11,26.6,Y
IDCJAC0002,070014,1944,12,26.6,Y
IDCJAC0002,070014,1945,01,28.7,Y
IDCJAC0002,070014,1945,02,25.6,Y
IDCJAC0002,070014,1945,03,23.5,Y
IDCJAC0002,070014,1945,04,19.1,Y
IDCJAC0002,070014,1945,05,14.7,Y
IDCJAC0002,070014,1945,06,12.2,Y
IDCJAC0002,070014,1945,07,10.2,Y
IDCJAC0002,070014,1945,08,12.1,Y
IDCJAC0002,070014,1945,09,15.4,Y
IDCJAC0002,070014,1945,10,19.8,Y
IDCJAC0002,070014,1945,11,22.7,Y
IDCJAC0002,070014,1945,12,29.0,Y
IDCJAC0002,070014,1946,01,30.8,Y
IDCJAC0002,070014,1946,02,25.9,Y
IDCJAC0002,070014,1946,03,21.9,Y
IDCJAC0002,070014,1946,04,18.1,Y
IDCJAC0002,070014,1946,05,15.9,Y
IDCJAC0002,070014,1946,06,10.3,Y
IDCJAC0002,070014,1946,07,11.3,Y
IDCJAC0002,070014,1946,08,12.8,Y
IDCJAC0002,070014,1946,09,16.5,Y
IDCJAC0002,070014,1946,10,20.1,Y
IDCJAC0002,070014,1946,11,24.4,Y
IDCJAC0002,070014,1946,12,27.8,Y
IDCJAC0002,070014,1947,01,30.9,Y
IDCJAC0002,070014,1947,02,27.4,Y
IDCJAC0002,070014,1947,03,25.5,Y
IDCJAC0002,070014,1947,04,20.0,Y
IDCJAC0002,070014,1947,05,18.2,Y
IDCJAC0002,070014,1947,06,12.2,Y
IDCJAC0002,070014,1947,07,11.1,Y
IDCJAC0002,070014,1947,08,12.4,Y
IDCJAC0002,070014,1947,09,16.1,Y
IDCJAC0002,070014,1947,10,18.1,Y
IDCJAC0002,070014,1947,11,20.0,Y
IDCJAC0002,070014,1947,12,23.0,Y
IDCJAC0002,070014,1948,01,23.6,Y
IDCJAC0002,070014,1948,02,26.4,Y
IDCJAC0002,070014,1948,03,21.2,Y
IDCJAC0002,070014,1948,04,18.8,Y
IDCJAC0002,070014,1948,05,13.3,Y
IDCJAC0002,070014,1948,06,11.5,Y
IDCJAC0002,070014,1948,07,10.3,Y
IDCJAC0002,070014,1948,08,13.6,Y
IDCJAC0002,070014,1948,09,16.5,Y
IDCJAC0002,070014,1948,10,18.2,Y
IDCJAC0002,070014,1948,11,22.3,Y
IDCJAC0002,070014,1948,12,27.8,Y
IDCJAC0002,070014,1949,01,25.3,Y
IDCJAC0002,070014,1949,02,25.9,Y
IDCJAC0002,070014,1949,03,22.7,Y
IDCJAC0002,070014,1949,04,19.1,Y
IDCJAC0002,070014,1949,05,14.4,Y
IDCJAC0002,070014,1949,06,10.6,Y
IDCJAC0002,070014,1949,07,11.0,Y
IDCJAC0002,070014,1949,08,13.4,Y
IDCJAC0002,070014,1949,09,16.2,Y
IDCJAC0002,070014,1949,10,18.5,Y
IDCJAC0002,070014,1949,11,21.0,Y
IDCJAC0002,070014,1949,12,26.3,Y
IDCJAC0002,070014,1950,01,27.5,Y
IDCJAC0002,070014,1950,02,25.0,Y
IDCJAC0002,070014,1950,03,22.6,Y
IDCJAC0002,070014,1950,04,19.0,Y
IDCJAC0002,070014,1950,05,14.9,Y
IDCJAC0002,070014,1950,06,11.5,Y
IDCJAC0002,070014,1950,07,11.7,Y
IDCJAC0002,070014,1950,08,12.9,Y
IDCJAC0002,070014,1950,09,17.0,Y
IDCJAC0002,070014,1950,10,18.3,Y
IDCJAC0002,070014,1950,11,21.1,Y
IDCJAC0002,070014,1950,12,26.4,Y
IDCJAC0002,070014,1951,01,26.1,Y
IDCJAC0002,070014,1951,02,27.3,Y
IDCJAC0002,070014,1951,03,27.4,Y
IDCJAC0002,070014,1951,04,17.6,Y
IDCJAC0002,070014,1951,05,15.2,Y
IDCJAC0002,070014,1951,06,12.9,Y
IDCJAC0002,070014,1951,07,11.0,Y
IDCJAC0002,070014,1951,08,11.4,Y
IDCJAC0002,070014,1951,09,17.5,Y
IDCJAC0002,070014,1951,10,17.9,Y
IDCJAC0002,070014,1951,11,22.7,Y
IDCJAC0002,070014,1951,12,26.6,Y
IDCJAC0002,070014,1952,01,30.7,Y
IDCJAC0002,070014,1952,02,27.2,Y
IDCJAC0002,070014,1952,03,25.5,Y
IDCJAC0002,070014,1952,04,17.3,Y
IDCJAC0002,070014,1952,05,13.1,Y
IDCJAC0002,070014,1952,06,11.1,Y
IDCJAC0002,070014,1952,07,10.3,Y
IDCJAC0002,070014,1952,08,12.4,Y
IDCJAC0002,070014,1952,09,15.5,Y
IDCJAC0002,070014,1952,10,17.9,Y
IDCJAC0002,070014,1952,11,20.1,Y
IDCJAC0002,070014,1952,12,23.8,Y
IDCJAC0002,070014,1953,01,25.6,Y
IDCJAC0002,070014,1953,02,25.7,Y
IDCJAC0002,070014,1953,03,25.6,Y
IDCJAC0002,070014,1953,04,21.4,Y
IDCJAC0002,070014,1953,05,14.9,Y
IDCJAC0002,070014,1953,06,11.2,Y
IDCJAC0002,070014,1953,07,11.1,Y
IDCJAC0002,070014,1953,08,12.6,Y
IDCJAC0002,070014,1953,09,15.4,Y
IDCJAC0002,070014,1953,10,18.6,Y
IDCJAC0002,070014,1953,11,22.1,Y
IDCJAC0002,070014,1953,12,27.2,Y
IDCJAC0002,070014,1954,01,26.3,Y
IDCJAC0002,070014,1954,02,25.1,Y
IDCJAC0002,070014,1954,03,24.3,Y
IDCJAC0002,070014,1954,04,21.3,Y
IDCJAC0002,070014,1954,05,15.3,Y
IDCJAC0002,070014,1954,06,12.0,Y
IDCJAC0002,070014,1954,07,11.9,Y
IDCJAC0002,070014,1954,08,14.3,Y
IDCJAC0002,070014,1954,09,16.5,Y
IDCJAC0002,070014,1954,10,20.3,Y
IDCJAC0002,070014,1954,11,23.0,Y
IDCJAC0002,070014,1954,12,25.8,Y
IDCJAC0002,070014,1955,01,27.7,Y
IDCJAC0002,070014,1955,02,24.9,Y
IDCJAC0002,070014,1955,03,24.2,Y
IDCJAC0002,070014,1955,04,20.3,Y
IDCJAC0002,070014,1955,05,13.7,Y
IDCJAC0002,070014,1955,06,11.3,Y
IDCJAC0002,070014,1955,07,10.8,Y
IDCJAC0002,070014,1955,08,12.0,Y
IDCJAC0002,070014,1955,09,16.6,Y
IDCJAC0002,070014,1955,10,18.8,Y
IDCJAC0002,070014,1955,11,20.8,Y
IDCJAC0002,070014,1955,12,23.3,Y
IDCJAC0002,070014,1956,01,26.0,Y
IDCJAC0002,070014,1956,02,24.8,Y
IDCJAC0002,070014,1956,03,22.7,Y
IDCJAC0002,070014,1956,04,18.1,Y
IDCJAC0002,070014,1956,05,14.4,Y
IDCJAC0002,070014,1956,06,10.9,Y
IDCJAC0002,070014,1956,07,10.0,Y
IDCJAC0002,070014,1956,08,11.2,Y
IDCJAC0002,070014,1956,09,15.2,Y
IDCJAC0002,070014,1956,10,16.0,Y
IDCJAC0002,070014,1956,11,19.5,Y
IDCJAC0002,070014,1956,12,25.5,Y
IDCJAC0002,070014,1957,01,29.0,Y
IDCJAC0002,070014,1957,02,25.9,Y
IDCJAC0002,070014,1957,03,24.0,Y
IDCJAC0002,070014,1957,04,20.1,Y
IDCJAC0002,070014,1957,05,16.0,Y
IDCJAC0002,070014,1957,06,15.8,Y
IDCJAC0002,070014,1957,07,10.6,Y
IDCJAC0002,070014,1957,08,13.4,Y
IDCJAC0002,070014,1957,09,16.2,Y
IDCJAC0002,070014,1957,10,20.4,Y
IDCJAC0002,070014,1957,11,24.8,Y
IDCJAC0002,070014,1957,12,28.9,Y
IDCJAC0002,070014,1958,01,27.1,Y
IDCJAC0002,070014,1958,02,26.3,Y
IDCJAC0002,070014,1958,03,24.1,Y
IDCJAC0002,070014,1958,04,20.8,Y
IDCJAC0002,070014,1958,05,15.9,Y
IDCJAC0002,070014,1958,06,12.3,Y
IDCJAC0002,070014,1958,07,10.0,Y
IDCJAC0002,070014,1958,08,12.3,Y
IDCJAC0002,070014,1958,09,14.7,Y
IDCJAC0002,070014,1958,10,17.5,Y
IDCJAC0002,070014,1958,11,24.2,Y
IDCJAC0002,070014,1958,12,24.0,Y
IDCJAC0002,070014,1959,01,28.1,Y
IDCJAC0002,070014,1959,02,27.3,Y
IDCJAC0002,070014,1959,03,23.2,Y
IDCJAC0002,070014,1959,04,19.7,Y
IDCJAC0002,070014,1959,05,15.8,Y
IDCJAC0002,070014,1959,06,12.5,Y
IDCJAC0002,070014,1959,07,12.3,Y
IDCJAC0002,070014,1959,08,13.7,Y
IDCJAC0002,070014,1959,09,15.4,Y
IDCJAC0002,070014,1959,10,17.3,Y
IDCJAC0002,070014,1959,11,24.7,Y
IDCJAC0002,070014,1959,12,24.2,Y
IDCJAC0002,070014,1960,01,29.1,Y
IDCJAC0002,070014,1960,02,26.0,Y
IDCJAC0002,070014,1960,03,24.4,Y
IDCJAC0002,070014,1960,04,19.3,Y
IDCJAC0002,070014,1960,05,13.1,Y
IDCJAC0002,070014,1960,06,11.5,Y
IDCJAC0002,070014,1960,07,11.1,Y
IDCJAC0002,070014,1960,08,11.9,Y
IDCJAC0002,070014,1960,09,15.1,Y
IDCJAC0002,070014,1960,10,18.5,Y
IDCJAC0002,070014,1960,11,19.9,Y
IDCJAC0002,070014,1960,12,24.4,Y
IDCJAC0002,070014,1961,01,27.2,Y
IDCJAC0002,070014,1961,02,26.7,Y
IDCJAC0002,070014,1961,03,23.1,Y
IDCJAC0002,070014,1961,04,19.2,Y
IDCJAC0002,070014,1961,05,15.4,Y
IDCJAC0002,070014,1961,06,12.4,Y
IDCJAC0002,070014,1961,07,11.0,Y
IDCJAC0002,070014,1961,08,12.5,Y
IDCJAC0002,070014,1961,09,16.1,Y
IDCJAC0002,070014,1961,10,21.8,Y
IDCJAC0002,070014,1961,11,22.1,Y
IDCJAC0002,070014,1961,12,24.8,Y
IDCJAC0002,070014,1962,01,24.3,Y
IDCJAC0002,070014,1962,02,25.1,Y
IDCJAC0002,070014,1962,03,24.7,Y
IDCJAC0002,070014,1962,04,20.7,Y
IDCJAC0002,070014,1962,05,13.8,Y
IDCJAC0002,070014,1962,06,13.3,Y
IDCJAC0002,070014,1962,07,12.5,Y
IDCJAC0002,070014,1962,08,12.3,Y
IDCJAC0002,070014,1962,09,15.6,Y
IDCJAC0002,070014,1962,10,17.4,Y
IDCJAC0002,070014,1962,11,23.5,Y
IDCJAC0002,070014,1962,12,23.2,Y
IDCJAC0002,070014,1963,01,25.4,Y
IDCJAC0002,070014,1963,02,26.6,Y
IDCJAC0002,070014,1963,03,23.4,Y
IDCJAC0002,070014,1963,04,19.8,Y
IDCJAC0002,070014,1963,05,15.1,Y
IDCJAC0002,070014,1963,06,12.1,Y
IDCJAC0002,070014,1963,07,10.5,Y
IDCJAC0002,070014,1963,08,12.7,Y
IDCJAC0002,070014,1963,09,15.5,Y
IDCJAC0002,070014,1963,10,21.1,Y
IDCJAC0002,070014,1963,11,22.2,Y
IDCJAC0002,070014,1963,12,26.2,Y
IDCJAC0002,070014,1964,01,27.6,Y
IDCJAC0002,070014,1964,02,26.9,Y
IDCJAC0002,070014,1964,03,25.2,Y
IDCJAC0002,070014,1964,04,20.1,Y
IDCJAC0002,070014,1964,05,14.1,Y
IDCJAC0002,070014,1964,06,11.8,Y
IDCJAC0002,070014,1964,07,9.7,Y
IDCJAC0002,070014,1964,08,12.4,Y
IDCJAC0002,070014,1964,09,15.2,Y
IDCJAC0002,070014,1964,10,16.2,Y
IDCJAC0002,070014,1964,11,23.4,Y
IDCJAC0002,070014,1964,12,23.8,Y
IDCJAC0002,070014,1965,01,27.4,Y
IDCJAC0002,070014,1965,02,29.9,Y
IDCJAC0002,070014,1965,03,27.3,Y
IDCJAC0002,070014,1965,04,18.1,Y
IDCJAC0002,070014,1965,05,15.9,Y
IDCJAC0002,070014,1965,06,12.9,Y
IDCJAC0002,070014,1965,07,10.9,Y
IDCJAC0002,070014,1965,08,13.2,Y
IDCJAC0002,070014,1965,09,17.9,Y
IDCJAC0002,070014,1965,10,20.5,Y
IDCJAC0002,070014,1965,11,21.1,Y
IDCJAC0002,070014,1965,12,26.7,Y
IDCJAC0002,070014,1966,01,29.1,Y
IDCJAC0002,070014,1966,02,25.6,Y
IDCJAC0002,070014,1966,03,23.6,Y
IDCJAC0002,070014,1966,04,20.3,Y
IDCJAC0002,070014,1966,05,14.4,Y
IDCJAC0002,070014,1966,06,11.4,Y
IDCJAC0002,070014,1966,07,10.0,Y
IDCJAC0002,070014,1966,08,12.2,Y
IDCJAC0002,070014,1966,09,14.8,Y
IDCJAC0002,070014,1966,10,18.0,Y
IDCJAC0002,070014,1966,11,21.5,Y
IDCJAC0002,070014,1966,12,23.6,Y
IDCJAC0002,070014,1967,01,26.9,Y
IDCJAC0002,070014,1967,02,27.2,Y
IDCJAC0002,070014,1967,03,23.7,Y
IDCJAC0002,070014,1967,04,21.5,Y
IDCJAC0002,070014,1967,05,17.0,Y
IDCJAC0002,070014,1967,06,13.9,Y
IDCJAC0002,070014,1967,07,12.0,Y
IDCJAC0002,070014,1967,08,12.2,Y
IDCJAC0002,070014,1967,09,16.1,Y
IDCJAC0002,070014,1967,10,20.5,Y
IDCJAC0002,070014,1967,11,24.5,Y
IDCJAC0002,070014,1967,12,26.4,Y
IDCJAC0002,070014,1968,01,29.4,Y
IDCJAC0002,070014,1968,02,32.0,Y
IDCJAC0002,070014,1968,03,27.4,Y
IDCJAC0002,070014,1968,04,22.0,Y
IDCJAC0002,070014,1968,05,12.2,Y
IDCJAC0002,070014,1968,06,10.7,Y
IDCJAC0002,070014,1968,07,10.0,Y
IDCJAC0002,070014,1968,08,11.5,Y
IDCJAC0002,070014,1968,09,15.3,Y
IDCJAC0002,070014,1968,10,18.8,Y
IDCJAC0002,070014,1968,11,22.2,Y
IDCJAC0002,070014,1968,12,24.9,Y
IDCJAC0002,070014,1969,01,30.2,Y
IDCJAC0002,070014,1969,02,27.0,Y
IDCJAC0002,070014,1969,03,24.3,Y
IDCJAC0002,070014,1969,04,19.7,Y
IDCJAC0002,070014,1969,05,13.9,Y
IDCJAC0002,070014,1969,06,11.5,Y
IDCJAC0002,070014,1969,07,11.6,Y
IDCJAC0002,070014,1969,08,14.0,Y
IDCJAC0002,070014,1969,09,13.3,Y
IDCJAC0002,070014,1969,10,19.6,Y
IDCJAC0002,070014,1969,11,21.1,Y
IDCJAC0002,070014,1969,12,24.5,Y
IDCJAC0002,070014,1970,01,24.5,Y
IDCJAC0002,070014,1970,02,27.1,Y
IDCJAC0002,070014,1970,03,22.9,Y
IDCJAC0002,070014,1970,04,19.9,Y
IDCJAC0002,070014,1970,05,13.9,Y
IDCJAC0002,070014,1970,06,12.4,Y
IDCJAC0002,070014,1970,07,11.6,Y
IDCJAC0002,070014,1970,08,12.2,Y
IDCJAC0002,070014,1970,09,13.7,Y
IDCJAC0002,070014,1970,10,19.8,Y
IDCJAC0002,070014,1970,11,21.1,Y
IDCJAC0002,070014,1970,12,25.5,Y
IDCJAC0002,070014,1971,01,26.6,Y
IDCJAC0002,070014,1971,02,25.1,Y
IDCJAC0002,070014,1971,03,24.2,Y
IDCJAC0002,070014,1971,04,20.5,Y
IDCJAC0002,070014,1971,05,15.1,Y
IDCJAC0002,070014,1971,06,12.4,Y
IDCJAC0002,070014,1971,07,11.1,Y
IDCJAC0002,070014,1971,08,12.4,Y
IDCJAC0002,070014,1971,09,16.1,Y
IDCJAC0002,070014,1971,10,19.8,Y
IDCJAC0002,070014,1971,11,20.7,Y
IDCJAC0002,070014,1971,12,25.3,Y
IDCJAC0002,070014,1972,01,24.0,Y
IDCJAC0002,070014,1972,02,24.8,Y
IDCJAC0002,070014,1972,03,24.0,Y
IDCJAC0002,070014,1972,04,19.9,Y
IDCJAC0002,070014,1972,05,16.7,Y
IDCJAC0002,070014,1972,06,13.2,Y
IDCJAC0002,070014,1972,07,11.9,Y
IDCJAC0002,070014,1972,08,13.8,Y
IDCJAC0002,070014,1972,09,19.5,Y
IDCJAC0002,070014,1972,10,20.7,Y
IDCJAC0002,070014,1972,11,23.0,Y
IDCJAC0002,070014,1972,12,29.7,Y
IDCJAC0002,070014,1973,01,31.2,Y
IDCJAC0002,070014,1973,02,26.2,Y
IDCJAC0002,070014,1973,03,24.1,Y
IDCJAC0002,070014,1973,04,20.8,Y
IDCJAC0002,070014,1973,05,15.8,Y
IDCJAC0002,070014,1973,06,12.0,Y
IDCJAC0002,070014,1973,07,12.6,Y
IDCJAC0002,070014,1973,08,13.1,Y
IDCJAC0002,070014,1973,09,16.9,Y
IDCJAC0002,070014,1973,10,18.7,Y
IDCJAC0002,070014,1973,11,21.6,Y
IDCJAC0002,070014,1973,12,25.9,Y
IDCJAC0002,070014,1974,01,25.9,Y
IDCJAC0002,070014,1974,02,26.0,Y
IDCJAC0002,070014,1974,03,24.6,Y
IDCJAC0002,070014,1974,04,18.4,Y
IDCJAC0002,070014,1974,05,16.0,Y
IDCJAC0002,070014,1974,06,12.2,Y
IDCJAC0002,070014,1974,07,10.8,Y
IDCJAC0002,070014,1974,08,12.2,Y
IDCJAC0002,070014,1974,09,14.0,Y
IDCJAC0002,070014,1974,10,17.7,Y
IDCJAC0002,070014,1974,11,20.2,Y
IDCJAC0002,070014,1974,12,25.9,Y
IDCJAC0002,070014,1975,01,27.2,Y
IDCJAC0002,070014,1975,02,26.2,Y
IDCJAC0002,070014,1975,03,22.2,Y
IDCJAC0002,070014,1975,04,19.0,Y
IDCJAC0002,070014,1975,05,15.7,Y
IDCJAC0002,070014,1975,06,12.6,Y
IDCJAC0002,070014,1975,07,12.9,Y
IDCJAC0002,070014,1975,08,12.8,Y
IDCJAC0002,070014,1975,09,16.4,Y
IDCJAC0002,070014,1975,10,17.7,Y
IDCJAC0002,070014,1975,11,23.2,Y
IDCJAC0002,070014,1975,12,27.0,Y
IDCJAC0002,070014,1976,01,25.1,Y
IDCJAC0002,070014,1976,02,25.0,Y
IDCJAC0002,070014,1976,03,23.6,Y
IDCJAC0002,070014,1976,04,19.3,Y
IDCJAC0002,070014,1976,05,16.4,Y
IDCJAC0002,070014,1976,06,13.0,Y
IDCJAC0002,070014,1976,07,12.2,Y
IDCJAC0002,070014,1976,08,13.4,Y
IDCJAC0002,070014,1976,09,15.5,Y
IDCJAC0002,070014,1976,10,16.6,Y
IDCJAC0002,070014,1976,11,21.1,Y
IDCJAC0002,070014,1976,12,26.8,Y
IDCJAC0002,070014,1977,01,28.5,Y
IDCJAC0002,070014,1977,02,28.0,Y
IDCJAC0002,070014,1977,03,23.0,Y
IDCJAC0002,070014,1977,04,19.1,Y
IDCJAC0002,070014,1977,05,14.3,Y
IDCJAC0002,070014,1977,06,11.9,Y
IDCJAC0002,070014,1977,07,10.2,Y
IDCJAC0002,070014,1977,08,14.7,Y
IDCJAC0002,070014,1977,09,15.2,Y
IDCJAC0002,070014,1977,10,22.0,Y
IDCJAC0002,070014,1977,11,25.3,Y
IDCJAC0002,070014,1977,12,28.3,Y
IDCJAC0002,070014,1978,01,26.6,Y
IDCJAC0002,070014,1978,02,28.2,Y
IDCJAC0002,070014,1978,03,25.0,Y
IDCJAC0002,070014,1978,04,19.2,Y
IDCJAC0002,070014,1978,05,16.4,Y
IDCJAC0002,070014,1978,06,11.1,Y
IDCJAC0002,070014,1978,07,10.1,Y
IDCJAC0002,070014,1978,08,12.5,Y
IDCJAC0002,070014,1978,09,14.5,Y
IDCJAC0002,070014,1978,10,19.0,Y
IDCJAC0002,070014,1978,11,21.9,Y
IDCJAC0002,070014,1978,12,23.9,Y
IDCJAC0002,070014,1979,01,31.7,Y
IDCJAC0002,070014,1979,02,29.7,Y
IDCJAC0002,070014,1979,03,24.1,Y
IDCJAC0002,070014,1979,04,18.5,Y
IDCJAC0002,070014,1979,05,14.7,Y
IDCJAC0002,070014,1979,06,13.4,Y
IDCJAC0002,070014,1979,07,11.9,Y
IDCJAC0002,070014,1979,08,12.9,Y
IDCJAC0002,070014,1979,09,15.7,Y
IDCJAC0002,070014,1979,10,19.8,Y
IDCJAC0002,070014,1979,11,24.5,Y
IDCJAC0002,070014,1979,12,29.6,Y
IDCJAC0002,070014,1980,01,26.5,Y
IDCJAC0002,070014,1980,02,28.6,Y
IDCJAC0002,070014,1980,03,27.2,Y
IDCJAC0002,070014,1980,04,22.5,Y
IDCJAC0002,070014,1980,05,16.5,Y
IDCJAC0002,070014,1980,06,12.6,Y
IDCJAC0002,070014,1980,07,11.3,Y
IDCJAC0002,070014,1980,08,13.9,Y
IDCJAC0002,070014,1980,09,17.7,Y
IDCJAC0002,070014,1980,10,21.7,Y
IDCJAC0002,070014,1980,11,25.3,Y
IDCJAC0002,070014,1980,12,27.6,Y
IDCJAC0002,070014,1981,01,31.6,Y
IDCJAC0002,070014,1981,02,27.0,Y
IDCJAC0002,070014,1981,03,24.4,Y
IDCJAC0002,070014,1981,04,21.8,Y
IDCJAC0002,070014,1981,05,15.6,Y
IDCJAC0002,070014,1981,06,10.9,Y
IDCJAC0002,070014,1981,07,10.4,Y
IDCJAC0002,070014,1981,08,11.5,Y
IDCJAC0002,070014,1981,09,17.9,Y
IDCJAC0002,070014,1981,10,20.5,Y
IDCJAC0002,070014,1981,11,21.1,Y
IDCJAC0002,070014,1981,12,26.3,Y
IDCJAC0002,070014,1982,01,30.2,Y
IDCJAC0002,070014,1982,02,29.8,Y
IDCJAC0002,070014,1982,03,23.9,Y
IDCJAC0002,070014,1982,04,19.9,Y
IDCJAC0002,070014,1982,05,15.9,Y
IDCJAC0002,070014,1982,06,11.9,Y
IDCJAC0002,070014,1982,07,11.5,Y
IDCJAC0002,070014,1982,08,17.2,Y
IDCJAC0002,070014,1982,09,16.5,Y
IDCJAC0002,070014,1982,10,21.4,Y
IDCJAC0002,070014,1982,11,28.7,Y
IDCJAC0002,070014,1982,12,27.8,Y
IDCJAC0002,070014,1983,01,29.4,Y
IDCJAC0002,070014,1983,02,30.8,Y
IDCJAC0002,070014,1983,03,26.6,Y
IDCJAC0002,070014,1983,04,17.2,Y
IDCJAC0002,070014,1983,05,15.1,Y
IDCJAC0002,070014,1983,06,10.5,Y
IDCJAC0002,070014,1983,07,10.8,Y
IDCJAC0002,070014,1983,08,13.0,Y
IDCJAC0002,070014,1983,09,15.6,Y
IDCJAC0002,070014,1983,10,18.7,Y
IDCJAC0002,070014,1983,11,20.6,Y
IDCJAC0002,070014,1983,12,24.8,Y
IDCJAC0002,070014,1984,01,24.7,Y
IDCJAC0002,070014,1984,02,25.6,Y
IDCJAC0002,070014,1984,03,22.1,Y
IDCJAC0002,070014,1984,04,19.1,Y
IDCJAC0002,070014,1984,05,15.8,Y
IDCJAC0002,070014,1984,06,13.5,Y
IDCJAC0002,070014,1984,07,10.7,Y
IDCJAC0002,070014,1984,08,12.8,Y
IDCJAC0002,070014,1984,09,14.4,Y
IDCJAC0002,070014,1984,10,19.0,Y
IDCJAC0002,070014,1984,11,23.4,Y
IDCJAC0002,070014,1984,12,24.8,Y
IDCJAC0002,070014,1985,01,29.7,Y
IDCJAC0002,070014,1985,02,27.4,Y
IDCJAC0002,070014,1985,03,25.6,Y
IDCJAC0002,070014,1985,04,19.5,Y
IDCJAC0002,070014,1985,05,16.0,Y
IDCJAC0002,070014,1985,06,12.1,Y
IDCJAC0002,070014,1985,07,11.4,Y
IDCJAC0002,070014,1985,08,12.6,Y
IDCJAC0002,070014,1985,09,15.6,Y
IDCJAC0002,070014,1985,10,18.8,Y
IDCJAC0002,070014,1985,11,22.0,Y
IDCJAC0002,070014,1985,12,24.1,Y
IDCJAC0002,070014,1986,01,26.3,Y
IDCJAC0002,070014,1986,02,27.7,Y
IDCJAC0002,070014,1986,03,27.8,Y
IDCJAC0002,070014,1986,04,21.6,Y
IDCJAC0002,070014,1986,05,15.8,Y
IDCJAC0002,070014,1986,06,11.5,Y
IDCJAC0002,070014,1986,07,11.0,Y
IDCJAC0002,070014,1986,08,13.1,Y
IDCJAC0002,070014,1986,09,15.8,Y
IDCJAC0002,070014,1986,10,17.0,Y
IDCJAC0002,070014,1986,11,20.9,Y
IDCJAC0002,070014,1986,12,24.6,Y
IDCJAC0002,070014,1987,01,29.1,Y
IDCJAC0002,070014,1987,02,28.6,Y
IDCJAC0002,070014,1987,03,22.4,Y
IDCJAC0002,070014,1987,04,21.7,Y
IDCJAC0002,070014,1987,05,15.2,Y
