Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,070014,1939,03,21.7,Y
IDCJAC0002,070014,1939,04,18.8,Y
IDCJAC0002,070014,1939,05,17.3,Y
IDCJAC0002,070014,1939,06,11.4,Y
IDCJAC0002,070014,1939,07,10.1,Y
IDCJAC0002,070014,1939,08,11.7,Y
IDCJAC0002,070014,1939,09,15.5,Y
IDCJAC0002,070014,1939,10,18.6,Y
IDCJAC0002,070014,1939,11,21.4,Y
IDCJAC0002,070014,1939,12,27.0,Y
IDCJAC0002,070014,1940,01,28.8,Y
IDCJAC0002,070014,1940,02,29.5,Y
IDCJAC0002,070014,1940,03,29.9,Y
IDCJAC0002,070014,1940,04,18.6,Y
IDCJAC0002,070014,1940,05,14.2,Y
IDCJAC0002,070014,1940,06,12.1,Y
IDCJAC0002,070014,1940,07,11.8,Y
IDCJAC0002,070014,1940,08,14.1,Y
IDCJAC0002,070014,1940,09,17.3,Y
IDCJAC0002,070014,1940,10,22.4,Y
IDCJAC0002,070014,1940,11,22.8,Y
IDCJAC0002,070014,1940,12,28.9,Y
IDCJAC0002,070014,1941,01,25.1,Y
IDCJAC0002,070014,1941,02,24.9,Y
IDCJAC0002,070014,1941,03,22.8,Y
IDCJAC0002,070014,1941,04,21.6,Y
IDCJAC0002,070014,1941,05,15.7,Y
IDCJAC0002,070014,1941,06,11.7,Y
IDCJAC0002,070014,1941,07,12.0,Y
IDCJAC0002,070014,1941,08,13.7,Y
IDCJAC0002,070014,1941,09,16.3,Y
IDCJAC0002,070014,1941,10,19.3,Y
IDCJAC0002,070014,1941,11,25.5,Y
IDCJAC0002,070014,1941,12,27.6,Y
IDCJAC0002,070014,1942,01,31.2,Y
IDCJAC0002,070014,1942,02,26.2,Y
IDCJAC0002,070014,1942,03,25.2,Y
IDCJAC0002,070014,1942,04,21.5,Y
IDCJAC0002,070014,1942,05,15.5,Y
IDCJAC0002,070014,1942,06,12.3,Y
IDCJAC0002,070014,1942,07,10.7,Y
IDCJAC0002,070014,1942,08,12.5,Y
IDCJAC0002,070014,1942,09,15.3,Y
IDCJAC0002,070014,1942,10,18.5,Y
IDCJAC0002,070014,1942,11,21.3,Y
IDCJAC0002,070014,1942,12,26.9,Y
IDCJAC0002,070014,1943,01,26.9,Y
IDCJAC0002,070014,1943,02,28.7,Y
IDCJAC0002,070014,1943,03,26.8,Y
IDCJAC0002,070014,1943,04,17.0,Y
IDCJAC0002,070014,1943,05,13.4,Y
