,Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
356,IDCJAC0009,70351,2008,12,22,0.0,,Y
357,IDCJAC0009,70351,2008,12,23,0.4,1.0,Y
358,IDCJAC0009,70351,2008,12,24,21.6,1.0,Y
359,IDCJAC0009,70351,2008,12,25,0.0,,Y
360,IDCJAC0009,70351,2008,12,26,0.0,,Y
361,IDCJAC0009,70351,2008,12,27,0.0,,Y
362,IDCJAC0009,70351,2008,12,28,30.6,1.0,Y
363,IDCJAC0009,70351,2008,12,29,0.0,,Y
364,IDCJAC0009,70351,2008,12,30,0.0,,Y
365,IDCJAC0009,70351,2008,12,31,0.0,,Y
366,IDCJAC0009,70351,2009,1,1,0.0,,Y
367,IDCJAC0009,70351,2009,1,2,0.0,,Y
368,IDCJAC0009,70351,2009,1,3,0.0,,Y
369,IDCJAC0009,70351,2009,1,4,0.0,,Y
370,IDCJAC0009,70351,2009,1,5,0.0,,Y
371,IDCJAC0009,70351,2009,1,6,0.0,,Y
372,IDCJAC0009,70351,2009,1,7,0.0,,Y
373,IDCJAC0009,70351,2009,1,8,0.0,,Y
374,IDCJAC0009,70351,2009,1,9,0.0,,Y
375,IDCJAC0009,70351,2009,1,10,0.0,,Y
376,IDCJAC0009,70351,2009,1,11,0.0,,Y
377,IDCJAC0009,70351,2009,1,12,2.0,1.0,Y
378,IDCJAC0009,70351,2009,1,13,0.0,,Y
379,IDCJAC0009,70351,2009,1,14,0.0,,Y
380,IDCJAC0009,70351,2009,1,15,0.0,,Y
381,IDCJAC0009,70351,2009,1,16,0.0,,Y
382,IDCJAC0009,70351,2009,1,17,0.0,,Y
383,IDCJAC0009,70351,2009,1,18,0.0,,Y
384,IDCJAC0009,70351,2009,1,19,0.0,,Y
385,IDCJAC0009,70351,2009,1,20,0.0,,Y
386,IDCJAC0009,70351,2009,1,21,16.2,1.0,Y
387,IDCJAC0009,70351,2009,1,22,0.0,,Y
388,IDCJAC0009,70351,2009,1,23,15.6,1.0,Y
389,IDCJAC0009,70351,2009,1,24,9.2,1.0,Y
390,IDCJAC0009,70351,2009,1,25,0.0,,Y
391,IDCJAC0009,70351,2009,1,26,0.0,,Y
392,IDCJAC0009,70351,2009,1,27,0.0,,Y
393,IDCJAC0009,70351,2009,1,28,0.0,,Y
394,IDCJAC0009,70351,2009,1,29,0.0,,Y
395,IDCJAC0009,70351,2009,1,30,0.0,,Y
396,IDCJAC0009,70351,2009,1,31,0.0,,Y
397,IDCJAC0009,70351,2009,2,1,0.0,,Y
398,IDCJAC0009,70351,2009,2,2,0.0,,Y
399,IDCJAC0009,70351,2009,2,3,0.6,1.0,Y
400,IDCJAC0009,70351,2009,2,4,0.0,,Y
401,IDCJAC0009,70351,2009,2,5,0.0,,Y
402,IDCJAC0009,70351,2009,2,6,0.0,,Y
403,IDCJAC0009,70351,2009,2,7,0.0,,Y
404,IDCJAC0009,70351,2009,2,8,0.0,,Y
405,IDCJAC0009,70351,2009,2,9,0.0,,Y
406,IDCJAC0009,70351,2009,2,10,0.0,,Y
407,IDCJAC0009,70351,2009,2,11,0.0,,Y
408,IDCJAC0009,70351,2009,2,12,0.2,1.0,Y
409,IDCJAC0009,70351,2009,2,13,4.2,1.0,Y
410,IDCJAC0009,70351,2009,2,14,0.0,,Y
411,IDCJAC0009,70351,2009,2,15,0.4,1.0,Y
412,IDCJAC0009,70351,2009,2,16,0.6,1.0,Y
413,IDCJAC0009,70351,2009,2,17,0.0,,Y
414,IDCJAC0009,70351,2009,2,18,0.0,,Y
415,IDCJAC0009,70351,2009,2,19,0.0,,Y
416,IDCJAC0009,70351,2009,2,20,0.0,,Y
417,IDCJAC0009,70351,2009,2,21,0.0,,Y
418,IDCJAC0009,70351,2009,2,22,0.0,,Y
419,IDCJAC0009,70351,2009,2,23,0.0,,Y
420,IDCJAC0009,70351,2009,2,24,1.2,1.0,Y
421,IDCJAC0009,70351,2009,2,25,0.0,,Y
422,IDCJAC0009,70351,2009,2,26,0.0,,Y
423,IDCJAC0009,70351,2009,2,27,0.0,,Y
424,IDCJAC0009,70351,2009,2,28,0.0,,Y
425,IDCJAC0009,70351,2009,3,1,0.0,,Y
426,IDCJAC0009,70351,2009,3,2,0.0,,Y
427,IDCJAC0009,70351,2009,3,3,0.0,,Y
428,IDCJAC0009,70351,2009,3,4,0.2,1.0,Y
429,IDCJAC0009,70351,2009,3,5,0.0,,Y
430,IDCJAC0009,70351,2009,3,6,0.0,,Y
431,IDCJAC0009,70351,2009,3,7,0.0,,Y
432,IDCJAC0009,70351,2009,3,8,0.0,,Y
433,IDCJAC0009,70351,2009,3,9,0.0,,Y
434,IDCJAC0009,70351,2009,3,10,0.0,,Y
435,IDCJAC0009,70351,2009,3,11,0.0,,Y
436,IDCJAC0009,70351,2009,3,12,0.0,,Y
437,IDCJAC0009,70351,2009,3,13,0.0,,Y
438,IDCJAC0009,70351,2009,3,14,0.0,,Y
439,IDCJAC0009,70351,2009,3,15,9.6,1.0,Y
440,IDCJAC0009,70351,2009,3,16,0.0,,Y
441,IDCJAC0009,70351,2009,3,17,0.0,,Y
442,IDCJAC0009,70351,2009,3,18,0.0,,Y
443,IDCJAC0009,70351,2009,3,19,0.0,,Y
444,IDCJAC0009,70351,2009,3,20,0.0,,Y
445,IDCJAC0009,70351,2009,3,21,0.0,,Y
446,IDCJAC0009,70351,2009,3,22,0.0,,Y
447,IDCJAC0009,70351,2009,3,23,0.0,,Y
448,IDCJAC0009,70351,2009,3,24,0.0,,Y
449,IDCJAC0009,70351,2009,3,25,0.0,,Y
450,IDCJAC0009,70351,2009,3,26,0.0,,Y
451,IDCJAC0009,70351,2009,3,27,0.4,1.0,Y
452,IDCJAC0009,70351,2009,3,28,0.0,,Y
453,IDCJAC0009,70351,2009,3,29,0.0,,Y
454,IDCJAC0009,70351,2009,3,30,0.0,,Y
455,IDCJAC0009,70351,2009,3,31,0.0,,Y
456,IDCJAC0009,70351,2009,4,1,0.4,1.0,Y
457,IDCJAC0009,70351,2009,4,2,1.8,1.0,Y
458,IDCJAC0009,70351,2009,4,3,0.0,,Y
