Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,070014,1939,03,94.7,Y
IDCJAC0001,070014,1939,04,75.0,Y
IDCJAC0001,070014,1939,05,21.5,Y
IDCJAC0001,070014,1939,06,57.7,Y
IDCJAC0001,070014,1939,07,33.3,Y
IDCJAC0001,070014,1939,08,110.1,Y
IDCJAC0001,070014,1939,09,16.1,Y
IDCJAC0001,070014,1939,10,77.0,Y
IDCJAC0001,070014,1939,11,49.7,Y
IDCJAC0001,070014,1939,12,21.6,Y
IDCJAC0001,070014,1940,01,35.6,Y
IDCJAC0001,070014,1940,02,3.8,Y
IDCJAC0001,070014,1940,03,2.3,Y
IDCJAC0001,070014,1940,04,154.1,Y
IDCJAC0001,070014,1940,05,11.5,Y
IDCJAC0001,070014,1940,06,11.6,Y
IDCJAC0001,070014,1940,07,6.5,Y
IDCJAC0001,070014,1940,08,21.6,Y
IDCJAC0001,070014,1940,09,56.6,Y
IDCJAC0001,070014,1940,10,6.4,Y
IDCJAC0001,070014,1940,11,13.2,Y
IDCJAC0001,070014,1940,12,49.5,Y
IDCJAC0001,070014,1941,01,163.9,Y
IDCJAC0001,070014,1941,02,74.8,Y
IDCJAC0001,070014,1941,03,25.8,Y
IDCJAC0001,070014,1941,04,19.2,Y
IDCJAC0001,070014,1941,05,40.2,Y
IDCJAC0001,070014,1941,06,36.9,Y
IDCJAC0001,070014,1941,07,10.6,Y
IDCJAC0001,070014,1941,08,22.4,Y
IDCJAC0001,070014,1941,09,70.3,Y
IDCJAC0001,070014,1941,10,29.8,Y
IDCJAC0001,070014,1941,11,21.4,Y
IDCJAC0001,070014,1941,12,26.6,Y
IDCJAC0001,070014,1942,01,7.4,Y
IDCJAC0001,070014,1942,02,95.5,Y
IDCJAC0001,070014,1942,03,20.9,Y
IDCJAC0001,070014,1942,04,2.1,Y
IDCJAC0001,070014,1942,05,117.2,Y
IDCJAC0001,070014,1942,06,79.6,Y
IDCJAC0001,070014,1942,07,43.6,Y
IDCJAC0001,070014,1942,08,48.8,Y
IDCJAC0001,070014,1942,09,57.7,Y
IDCJAC0001,070014,1942,10,42.6,Y
IDCJAC0001,070014,1942,11,109.6,Y
IDCJAC0001,070014,1942,12,15.4,Y
IDCJAC0001,070014,1943,01,68.5,Y
