,month,soi
0,1876-01-01,11.3
1,1876-02-01,11.0
2,1876-03-01,0.2
3,1876-04-01,9.4
4,1876-05-01,6.8
5,1876-06-01,17.2
6,1876-07-01,-5.6
7,1876-08-01,12.3
8,1876-09-01,10.5
9,1876-10-01,-8.0
10,1876-11-01,-2.7
11,1876-12-01,-3.0
12,1877-01-01,-9.7
13,1877-02-01,-6.5
14,1877-03-01,-4.7
15,1877-04-01,-9.6
16,1877-05-01,3.6
17,1877-06-01,-16.8
18,1877-07-01,-10.2
19,1877-08-01,-8.2
20,1877-09-01,-17.2
21,1877-10-01,-16.0
22,1877-11-01,-12.6
23,1877-12-01,-12.6
24,1878-01-01,-8.7
25,1878-02-01,-21.1
26,1878-03-01,-15.5
27,1878-04-01,-8.8
28,1878-05-01,2.1
29,1878-06-01,-3.1
30,1878-07-01,15.9
31,1878-08-01,13.0
32,1878-09-01,17.7
33,1878-10-01,10.9
34,1878-11-01,15.1
35,1878-12-01,17.9
36,1879-01-01,12.7
37,1879-02-01,14.3
38,1879-03-01,13.2
39,1879-04-01,12.7
40,1879-05-01,2.1
41,1879-06-01,16.4
42,1879-07-01,21.8
43,1879-08-01,22.6
44,1879-09-01,18.9
45,1879-10-01,15.2
46,1879-11-01,9.8
47,1879-12-01,-5.5
48,1880-01-01,10.8
49,1880-02-01,7.7
50,1880-03-01,14.3
51,1880-04-01,5.3
52,1880-05-01,12.3
53,1880-06-01,9.1
54,1880-07-01,1.6
55,1880-08-01,14.3
56,1880-09-01,8.1
57,1880-10-01,4.8
58,1880-11-01,7.2
59,1880-12-01,-1.9
60,1881-01-01,-7.3
61,1881-02-01,-5.5
62,1881-03-01,1.8
63,1881-04-01,0.3
64,1881-05-01,-4.3
65,1881-06-01,-4.7
66,1881-07-01,-5.6
67,1881-08-01,-11.4
68,1881-09-01,-13.6
69,1881-10-01,-23.9
70,1881-11-01,7.2
71,1881-12-01,9.8
72,1882-01-01,-6.8
73,1882-02-01,-1.3
74,1882-03-01,5.1
75,1882-04-01,1.2
76,1882-05-01,6.8
77,1882-06-01,-12.0
78,1882-07-01,-21.3
79,1882-08-01,-25.6
80,1882-09-01,-14.8
81,1882-10-01,-2.5
82,1882-11-01,2.6
83,1882-12-01,10.3
84,1883-01-01,6.0
85,1883-02-01,9.1
86,1883-03-01,-25.3
87,1883-04-01,14.4
88,1883-05-01,13.9
89,1883-06-01,3.4
90,1883-07-01,-10.2
91,1883-08-01,1.4
92,1883-09-01,-8.2
93,1883-10-01,4.8
94,1883-11-01,5.2
95,1883-12-01,-15.2
96,1884-01-01,-12.5
97,1884-02-01,-5.0
98,1884-03-01,9.4
99,1884-04-01,-15.4
100,1884-05-01,1.3
101,1884-06-01,9.1
102,1884-07-01,-3.0
103,1884-08-01,-5.0
104,1884-09-01,-7.0
105,1884-10-01,4.2
106,1884-11-01,-1.4
107,1884-12-01,-12.6
108,1885-01-01,-16.3
109,1885-02-01,1.6
110,1885-03-01,5.1
111,1885-04-01,-0.5
112,1885-05-01,-4.3
113,1885-06-01,-14.4
114,1885-07-01,-5.0
115,1885-08-01,-9.5
116,1885-09-01,-4.0
117,1885-10-01,-17.8
118,1885-11-01,-15.9
119,1885-12-01,5.2
120,1886-01-01,-0.6
121,1886-02-01,1.6
122,1886-03-01,2.9
123,1886-04-01,4.5
124,1886-05-01,6.0
125,1886-06-01,5.0
126,1886-07-01,7.4
127,1886-08-01,13.6
128,1886-09-01,13.5
129,1886-10-01,13.4
130,1886-11-01,10.5
131,1886-12-01,14.4
132,1887-01-01,12.2
133,1887-02-01,11.0
134,1887-03-01,10.0
135,1887-04-01,9.4
136,1887-05-01,-4.3
137,1887-06-01,5.0
138,1887-07-01,4.8
139,1887-08-01,4.6
140,1887-09-01,5.1
141,1887-10-01,4.8
142,1887-11-01,-5.3
143,1887-12-01,5.2
144,1888-01-01,-3.0
145,1888-02-01,-2.2
146,1888-03-01,-11.7
147,1888-04-01,-23.6
148,1888-05-01,-9.8
149,1888-06-01,-16.0
150,1888-07-01,-16.7
151,1888-08-01,-8.9
152,1888-09-01,-9.4
153,1888-10-01,-14.7
154,1888-11-01,-12.6
155,1888-12-01,-2.4
156,1889-01-01,-25.9
157,1889-02-01,-1.7
158,1889-03-01,-27.5
159,1889-04-01,-0.5
160,1889-05-01,-1.9
161,1889-06-01,22.0
162,1889-07-01,1.6
163,1889-08-01,2.1
164,1889-09-01,11.1
165,1889-10-01,4.2
166,1889-11-01,23.0
167,1889-12-01,22.0
168,1890-01-01,20.8
169,1890-02-01,11.0
170,1890-03-01,14.3
171,1890-04-01,6.9
172,1890-05-01,3.6
173,1890-06-01,5.8
174,1890-07-01,-2.3
175,1890-08-01,-3.1
176,1890-09-01,9.3
177,1890-10-01,3.6
178,1890-11-01,2.6
179,1890-12-01,0.6
180,1891-01-01,15.6
181,1891-02-01,-3.6
182,1891-03-01,-9.5
183,1891-04-01,4.5
184,1891-05-01,-0.3
185,1891-06-01,-1.5
186,1891-07-01,-6.3
187,1891-08-01,-8.9
188,1891-09-01,-10.6
189,1891-10-01,0.6
190,1891-11-01,-4.7
191,1891-12-01,-4.5
192,1892-01-01,2.7
193,1892-02-01,-10.2
194,1892-03-01,11.1
195,1892-04-01,6.9
196,1892-05-01,10.0
197,1892-06-01,19.6
198,1892-07-01,7.4
199,1892-08-01,5.9
200,1892-09-01,6.3
201,1892-10-01,8.5
202,1892-11-01,-0.7
203,1892-12-01,3.7
204,1893-01-01,11.3
205,1893-02-01,7.7
206,1893-03-01,-1.4
207,1893-04-01,1.2
208,1893-05-01,-3.5
209,1893-06-01,10.7
210,1893-07-01,14.0
211,1893-08-01,7.8
212,1893-09-01,5.7
213,1893-10-01,7.9
214,1893-11-01,2.6
215,1893-12-01,1.6
216,1894-01-01,17.5
217,1894-02-01,10.0
218,1894-03-01,5.6
219,1894-04-01,-3.0
220,1894-05-01,-5.1
221,1894-06-01,-1.5
222,1894-07-01,-2.3
223,1894-08-01,-5.7
224,1894-09-01,-1.6
225,1894-10-01,1.8
226,1894-11-01,7.2
227,1894-12-01,0.1
228,1895-01-01,5.6
229,1895-02-01,3.0
230,1895-03-01,-0.3
231,1895-04-01,-7.1
232,1895-05-01,-8.2
233,1895-06-01,-4.7
234,1895-07-01,-0.4
235,1895-08-01,-6.3
236,1895-09-01,-4.0
237,1895-10-01,-5.6
238,1895-11-01,-8.6
239,1895-12-01,-3.5
240,1896-01-01,1.3
241,1896-02-01,4.9
242,1896-03-01,-6.3
243,1896-04-01,-8.8
244,1896-05-01,-42.2
245,1896-06-01,-30.6
246,1896-07-01,-20.6
247,1896-08-01,-22.4
248,1896-09-01,-19.0
249,1896-10-01,-19.0
250,1896-11-01,-11.9
251,1896-12-01,-14.2
252,1897-01-01,-12.5
253,1897-02-01,-7.4
254,1897-03-01,-16.6
255,1897-04-01,-17.8
256,1897-05-01,-16.9
257,1897-06-01,0.2
258,1897-07-01,-2.3
259,1897-08-01,0.8
260,1897-09-01,0.2
261,1897-10-01,1.8
262,1897-11-01,-8.0
263,1897-12-01,10.3
264,1898-01-01,7.0
265,1898-02-01,6.3
266,1898-03-01,19.2
267,1898-04-01,11.1
268,1898-05-01,-1.9
269,1898-06-01,-2.3
270,1898-07-01,6.1
271,1898-08-01,2.1
272,1898-09-01,3.2
273,1898-10-01,-0.7
274,1898-11-01,-2.7
275,1898-12-01,-0.4
276,1899-01-01,13.2
277,1899-02-01,9.1
278,1899-03-01,13.8
279,1899-04-01,4.5
280,1899-05-01,-7.4
281,1899-06-01,-10.4
282,1899-07-01,-5.6
283,1899-08-01,-10.1
284,1899-09-01,-1.6
285,1899-10-01,6.1
286,1899-11-01,15.8
287,1899-12-01,-3.0
288,1900-01-01,-7.3
289,1900-02-01,-6.5
290,1900-03-01,-25.3
291,1900-04-01,-18.7
292,1900-05-01,-7.4
293,1900-06-01,26.1
294,1900-07-01,10.0
295,1900-08-01,7.8
296,1900-09-01,-16.6
297,1900-10-01,-17.2
298,1900-11-01,-6.0
299,1900-12-01,-5.5
300,1901-01-01,-0.1
301,1901-02-01,3.0
302,1901-03-01,9.4
303,1901-04-01,4.5
304,1901-05-01,-0.3
305,1901-06-01,19.6
306,1901-07-01,14.6
307,1901-08-01,9.8
308,1901-09-01,-16.0
309,1901-10-01,-22.1
