,Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
262,IDCJAC0010,70351,2008,9,19,23.6,1.0,Y
263,IDCJAC0010,70351,2008,9,20,23.8,1.0,Y
264,IDCJAC0010,70351,2008,9,21,19.8,1.0,Y
265,IDCJAC0010,70351,2008,9,22,22.5,1.0,Y
266,IDCJAC0010,70351,2008,9,23,16.6,1.0,Y
267,IDCJAC0010,70351,2008,9,24,17.3,1.0,Y
268,IDCJAC0010,70351,2008,9,25,19.0,1.0,Y
269,IDCJAC0010,70351,2008,9,26,21.4,1.0,Y
270,IDCJAC0010,70351,2008,9,27,25.9,1.0,Y
271,IDCJAC0010,70351,2008,9,28,24.5,1.0,Y
272,IDCJAC0010,70351,2008,9,29,19.2,1.0,Y
273,IDCJAC0010,70351,2008,9,30,17.8,1.0,Y
274,IDCJAC0010,70351,2008,10,1,22.0,1.0,Y
275,IDCJAC0010,70351,2008,10,2,27.9,1.0,Y
276,IDCJAC0010,70351,2008,10,3,29.4,1.0,Y
277,IDCJAC0010,70351,2008,10,4,20.6,1.0,Y
278,IDCJAC0010,70351,2008,10,5,21.7,1.0,Y
279,IDCJAC0010,70351,2008,10,6,18.0,1.0,Y
280,IDCJAC0010,70351,2008,10,7,16.7,1.0,Y
281,IDCJAC0010,70351,2008,10,8,18.3,1.0,Y
282,IDCJAC0010,70351,2008,10,9,20.3,1.0,Y
283,IDCJAC0010,70351,2008,10,10,22.0,1.0,Y
284,IDCJAC0010,70351,2008,10,11,23.1,1.0,Y
285,IDCJAC0010,70351,2008,10,12,24.3,1.0,Y
286,IDCJAC0010,70351,2008,10,13,26.6,1.0,Y
287,IDCJAC0010,70351,2008,10,14,21.4,1.0,Y
288,IDCJAC0010,70351,2008,10,15,19.9,1.0,Y
289,IDCJAC0010,70351,2008,10,16,21.2,1.0,Y
290,IDCJAC0010,70351,2008,10,17,24.2,1.0,Y
291,IDCJAC0010,70351,2008,10,18,25.8,1.0,Y
292,IDCJAC0010,70351,2008,10,19,29.2,1.0,Y
293,IDCJAC0010,70351,2008,10,20,28.0,1.0,Y
294,IDCJAC0010,70351,2008,10,21,20.3,1.0,Y
295,IDCJAC0010,70351,2008,10,22,15.3,1.0,Y
296,IDCJAC0010,70351,2008,10,23,18.3,1.0,Y
297,IDCJAC0010,70351,2008,10,24,21.3,1.0,Y
298,IDCJAC0010,70351,2008,10,25,26.3,1.0,Y
299,IDCJAC0010,70351,2008,10,26,26.7,1.0,Y
300,IDCJAC0010,70351,2008,10,27,31.4,1.0,Y
301,IDCJAC0010,70351,2008,10,28,29.1,1.0,Y
304,IDCJAC0010,70351,2008,10,31,30.8,1.0,Y
305,IDCJAC0010,70351,2008,11,1,21.6,1.0,Y
306,IDCJAC0010,70351,2008,11,2,25.5,1.0,Y
307,IDCJAC0010,70351,2008,11,3,23.9,1.0,Y
308,IDCJAC0010,70351,2008,11,4,20.8,1.0,Y
